python3 brench-pipeless/brench.py benchmark.toml
benchmark,run,result
std_lt,baseline,309
std_lt,10,2846
std_lt,100,744
std_lt,1000,6979
std_lt,10000,49358
std_lt,100000,534868
std_lt,1000000,7679451
std_lsh,baseline,3204
std_lsh,10,502
std_lsh,100,3710
std_lsh,1000,6027
std_lsh,10000,59237
std_lsh,100000,492263
std_lsh,1000000,7675564
std_xor,baseline,3073
std_xor,10,2982
std_xor,100,1027
std_xor,1000,8537
std_xor,10000,57129
std_xor,100000,464599
std_xor,1000000,7867989
std_ge,baseline,246
std_ge,10,306
std_ge,100,751
std_ge,1000,4998
std_ge,10000,45733
std_ge,100000,620204
std_ge,1000000,9793508
fib,baseline,440
fib,10,856
fib,100,10114
fib,1000,57372
fib,10000,700394
fib,100000,9359502
fib,1000000,48917322
gen_xor_cat,baseline,2381
gen_xor_cat,10,1383
gen_xor_cat,100,8282
gen_xor_cat,1000,85912
gen_xor_cat,10000,880126
gen_xor_cat,100000,10833777
gen_xor_cat,1000000,53905964
std_neq,baseline,365
std_neq,10,441
std_neq,100,2923
std_neq,1000,9980
std_neq,10000,81289
std_neq,100000,656216
std_neq,1000000,9004177
std_slice,baseline,322
std_slice,10,2438
std_slice,100,7670
std_slice,1000,9416
std_slice,10000,46840
std_slice,100000,484330
std_slice,1000000,6062789
std_rsh,baseline,2417
std_rsh,10,483
std_rsh,100,4084
std_rsh,1000,8238
std_rsh,10000,94862
std_rsh,100000,723350
std_rsh,1000000,9656310
std_not,baseline,322
std_not,10,3921
std_not,100,865
std_not,1000,19123
std_not,10000,69546
std_not,100000,549295
std_not,1000000,6549627
std_or,baseline,361
std_or,10,463
std_or,100,4182
std_or,1000,10463
std_or,10000,103559
std_or,100000,1164270
std_or,1000000,10522389
std_add,baseline,10189
std_add,10,543
std_add,100,4580
std_add,1000,12224
std_add,10000,118289
std_add,100000,1252290
std_add,1000000,10538765
std_cat,baseline,435
std_cat,10,592
std_cat,100,4041
std_cat,1000,12242
std_cat,10000,117824
std_cat,100000,1146015
std_cat,1000000,9518222
std_eq,baseline,6570
std_eq,10,20092
std_eq,100,19873
std_eq,1000,12924
std_eq,10000,133471
std_eq,100000,981678
std_eq,1000000,8150723
std_pad,baseline,413
std_pad,10,433
std_pad,100,3105
std_pad,1000,8711
std_pad,10000,59023
std_pad,100000,551395
std_pad,1000000,5097834
std_gt,baseline,2785
std_gt,10,496
std_gt,100,1395
std_gt,1000,10148
std_gt,10000,99253
std_gt,100000,912778
std_gt,1000000,7640315
std_sub,baseline,3017
std_sub,10,540
std_sub,100,1538
std_sub,1000,13258
std_sub,10000,93224
std_sub,100000,1146350
std_sub,1000000,7522096
std_and,baseline,392
std_and,10,490
std_and,100,4462
std_and,1000,10021
std_and,10000,108350
std_and,100000,877017
std_and,1000000,6344654
std_le,baseline,388
std_le,10,480
std_le,100,3942
std_le,1000,12222
std_le,10000,101154
std_le,100000,1011089
std_le,1000000,6189512
std_mux,baseline,2679
std_mux,10,503
std_mux,100,1592
std_mux,1000,14327
std_mux,10000,110018
std_mux,100000,1002493
std_mux,1000000,6403384
