python3 brench-pipeless/brench.py benchmark.toml
benchmark,run,result
std_lt,baseline,269
std_lt,10,249
std_lt,100,4618
std_lt,1000,8932
std_lt,10000,50067
std_lt,100000,588905
std_lt,1000000,8069355
std_lsh,baseline,3764
std_lsh,10,283
std_lsh,100,1027
std_lsh,1000,10247
std_lsh,10000,66921
std_lsh,100000,558183
std_lsh,1000000,7668082
std_xor,baseline,3006
std_xor,10,298
std_xor,100,4409
std_xor,1000,8358
std_xor,10000,74417
std_xor,100000,562890
std_xor,1000000,8003418
std_ge,baseline,374
std_ge,10,506
std_ge,100,1013
std_ge,1000,5520
std_ge,10000,49691
std_ge,100000,577387
std_ge,1000000,9461443
fib,baseline,372
fib,10,878
fib,100,5578
fib,1000,65504
fib,10000,730570
fib,100000,9494982
fib,1000000,49181414
gen_xor_cat,baseline,405
gen_xor_cat,10,4310
gen_xor_cat,100,13102
gen_xor_cat,1000,94980
gen_xor_cat,10000,943057
gen_xor_cat,100000,10878236
gen_xor_cat,1000000,53819092
std_neq,baseline,2495
std_neq,10,473
std_neq,100,1271
std_neq,1000,8462
std_neq,10000,80309
std_neq,100000,838600
std_neq,1000000,8738306
std_slice,baseline,29403
std_slice,10,2908
std_slice,100,3274
std_slice,1000,5151
std_slice,10000,52515
std_slice,100000,549916
std_slice,1000000,5465528
std_rsh,baseline,417
std_rsh,10,469
std_rsh,100,4919
std_rsh,1000,10739
std_rsh,10000,98469
std_rsh,100000,819428
std_rsh,1000000,9262598
std_not,baseline,353
std_not,10,422
std_not,100,2700
std_not,1000,6930
std_not,10000,66747
std_not,100000,557031
std_not,1000000,6040920
std_or,baseline,3297
std_or,10,3711
std_or,100,1273
std_or,1000,14236
std_or,10000,102341
std_or,100000,977541
std_or,1000000,10098786
std_add,baseline,2483
std_add,10,464
std_add,100,1415
std_add,1000,12526
std_add,10000,103557
std_add,100000,1010350
std_add,1000000,10071207
std_cat,baseline,361
std_cat,10,508
std_cat,100,1359
std_cat,1000,10214
std_cat,10000,94128
std_cat,100000,1135653
std_cat,1000000,9426258
std_eq,baseline,492
std_eq,10,566
std_eq,100,11957
std_eq,1000,20548
std_eq,10000,115663
std_eq,100000,1072820
std_eq,1000000,8583148
std_pad,baseline,389
std_pad,10,14087
std_pad,100,983
std_pad,1000,20285
std_pad,10000,60752
std_pad,100000,552925
std_pad,1000000,5269338
std_gt,baseline,326
std_gt,10,3692
std_gt,100,1584
std_gt,1000,9325
std_gt,10000,92505
std_gt,100000,1139464
std_gt,1000000,7884012
std_sub,baseline,3894
std_sub,10,594
std_sub,100,1726
std_sub,1000,16608
std_sub,10000,129415
std_sub,100000,1136528
std_sub,1000000,8010966
std_and,baseline,6433
std_and,10,1530
std_and,100,1335
std_and,1000,10154
std_and,10000,102641
std_and,100000,928639
std_and,1000000,6556266
std_le,baseline,532
std_le,10,2854
std_le,100,1624
std_le,1000,15729
std_le,10000,106246
std_le,100000,986494
std_le,1000000,6367255
std_mux,baseline,10468
std_mux,10,525
std_mux,100,1592
std_mux,1000,16544
std_mux,10000,122047
std_mux,100000,982778
std_mux,1000000,6644893
